Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
R9Y03A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Layer,L2,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Portanzahl,52,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45, Access), 1 GbE (SFP-Uplink)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Uplink-Ports,4× SFP (1G),https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,PoE,"Ja (IEEE 802.3af/at Class 4, 30 W/Port, Budget 740 W)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Switching-Kapazität,104 Gbit/s,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Durchsatz,"77,3 Mpps",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Stromversorgung,"Internes Festnetzteil (nicht hot-swap, nicht feldaustauschbar)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Kühlung,Feste Lüfter (nicht austauschbar),https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Stacking,Nein,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Betriebstemperatur,0 bis 45 °C,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R9Y03A,Anwendung,"Entry-Level-Campus-Access (Layer 2, AOS-CX) mit Class-4-PoE für Access Points und IP-Telefone",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Layer,L2,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Portanzahl,52,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45, Access), 1 GbE (SFP-Uplink)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Uplink-Ports,4× SFP (1G),https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,PoE,"Ja (IEEE 802.3af/at Class 4, 30 W/Port, Budget 370 W)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Switching-Kapazität,104 Gbit/s,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Durchsatz,"77,3 Mpps",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Stromversorgung,"Internes Festnetzteil (nicht hot-swap, nicht feldaustauschbar)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Kühlung,Feste Lüfter (nicht austauschbar),https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Stacking,Nein,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Betriebstemperatur,0 bis 45 °C,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N85A,Anwendung,"Entry-Level-Campus-Access (Layer 2, AOS-CX) mit Class-4-PoE für Access Points und IP-Telefone",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N86A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N86A,Layer,L2,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N86A,Portanzahl,52,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N86A,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 4× SFP (1G) (Uplink)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N86A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45, Access), 1 GbE (SFP-Uplink)",https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N86A,Uplink-Ports,4× SFP (1G),https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N86A,PoE,Nein,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
R8N86A,Switching-Kapazität,104 Gbit/s,https://www.hpe.com/psnow/doc/a00112996enw,datasheet,2026-07-01T00:06:05Z
