Artikelnummer,FAQ
JL724A,"Wie viele Ports hat der JL724A?||Der JL724A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der JL724A PoE?||Nein. Der JL724A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL724A stapeln (Stacking)?||Ja. Der JL724A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL724B,"Wie viele Ports hat der JL724B?||Der JL724B bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der JL724B PoE?||Nein. Der JL724B ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL724B stapeln (Stacking)?||Ja. Der JL724B unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M86A,"Wie viele Ports hat der S0M86A?||Der S0M86A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der S0M86A PoE?||Nein. Der S0M86A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0M86A stapeln (Stacking)?||Ja. Der S0M86A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL725A,"Wie viele Ports hat der JL725A?||Der JL725A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL725A?||Der JL725A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL725A stapeln (Stacking)?||Ja. Der JL725A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL725B,"Wie viele Ports hat der JL725B?||Der JL725B bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL725B?||Der JL725B stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL725B stapeln (Stacking)?||Ja. Der JL725B unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M87A,"Wie viele Ports hat der S0M87A?||Der S0M87A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des S0M87A?||Der S0M87A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0M87A stapeln (Stacking)?||Ja. Der S0M87A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL726A,"Wie viele Ports hat der JL726A?||Der JL726A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der JL726A PoE?||Nein. Der JL726A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL726A stapeln (Stacking)?||Ja. Der JL726A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL726B,"Wie viele Ports hat der JL726B?||Der JL726B bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der JL726B PoE?||Nein. Der JL726B ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL726B stapeln (Stacking)?||Ja. Der JL726B unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M88A,"Wie viele Ports hat der S0M88A?||Der S0M88A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der S0M88A PoE?||Nein. Der S0M88A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0M88A stapeln (Stacking)?||Ja. Der S0M88A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL727A,"Wie viele Ports hat der JL727A?||Der JL727A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL727A?||Der JL727A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL727A stapeln (Stacking)?||Ja. Der JL727A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
