Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
JL724A;HPE Aruba Networking CX 6200F JL724A Managed Switch (L2) – 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 6200F JL724A ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 24× 10/100/1000BASE-T (ohne PoE). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 128 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 6200F JL724A ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 24× 10/100/1000BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der JL724A eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,2 Mpps. Der JL724A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des JL724A erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der JL724A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des JL724A übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 200 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der JL724A umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl724a;4,36;6,36;JL724A;HP;standard;Stk;HPE Aruba CX 6200F JL724A Switch (A) | Hexwaren;Original HPE Aruba Networking CX 6200F JL724A: gemanagter Layer-2-Switch mit 24× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 128 Gbit/s, 4× SFP+ (1/10G)-Uplinks, ohne PoE – Hardware-Revision A;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
JL724B;HPE Aruba Networking CX 6200F JL724B Managed Switch (L2) – 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 6200F JL724B ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 24× 10/100/1000BASE-T (ohne PoE). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 128 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 6200F JL724B ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 24× 10/100/1000BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der JL724B eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,2 Mpps. Der JL724B ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des JL724B erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der JL724B im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des JL724B übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 200 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der JL724B umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl724b;4,36;6,36;JL724B;HP;standard;Stk;HPE Aruba CX 6200F JL724B Switch (B) | Hexwaren;Original HPE Aruba Networking CX 6200F JL724B: gemanagter Layer-2-Switch mit 24× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 128 Gbit/s, 4× SFP+ (1/10G)-Uplinks, ohne PoE – Hardware-Revision B;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
S0M86A;HPE Aruba Networking CX 6200F S0M86A Managed Switch (L2) – 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE) (TAA, Trade Agreements Act);<p>Der HPE Aruba Networking CX 6200F S0M86A ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 24× 10/100/1000BASE-T (ohne PoE). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 128 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 6200F S0M86A ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 24× 10/100/1000BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der S0M86A eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,2 Mpps. Der S0M86A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0M86A erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0M86A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des S0M86A übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 200 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der S0M86A umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0m86a;4,36;6,36;S0M86A;HP;standard;Stk;HPE Aruba CX 6200F S0M86A Switch (TAA-konform) | Hexwaren;Original HPE Aruba Networking CX 6200F S0M86A: gemanagter Layer-2-Switch mit 24× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 128 Gbit/s, 4× SFP+ (1/10G)-Uplinks, ohne PoE – TAA-konform;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
JL725A;HPE Aruba Networking CX 6200F JL725A Managed Switch (L2) – 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 6200F JL725A ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 128 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an. Über Power over Ethernet versorgt der JL725A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking CX 6200F JL725A ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der JL725A eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,2 Mpps. Der JL725A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des JL725A erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der JL725A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des JL725A übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 500 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der JL725A umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl725a;4,90;6,90;JL725A;HP;standard;Stk;HPE Aruba CX 6200F JL725A Switch (A) | Hexwaren;Original HPE Aruba Networking CX 6200F JL725A: gemanagter Layer-2-Switch mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W), Switching-Kapazität 128 Gbit/s, 4× SFP+ (1/10G)-Uplinks – Hardware-Revision A;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
JL725B;HPE Aruba Networking CX 6200F JL725B Managed Switch (L2) – 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 6200F JL725B ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 128 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an. Über Power over Ethernet versorgt der JL725B angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking CX 6200F JL725B ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der JL725B eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,2 Mpps. Der JL725B versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des JL725B erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der JL725B im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des JL725B übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 500 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der JL725B umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl725b;4,90;6,90;JL725B;HP;standard;Stk;HPE Aruba CX 6200F JL725B Switch (B) | Hexwaren;Original HPE Aruba Networking CX 6200F JL725B: gemanagter Layer-2-Switch mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W), Switching-Kapazität 128 Gbit/s, 4× SFP+ (1/10G)-Uplinks – Hardware-Revision B;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
S0M87A;HPE Aruba Networking CX 6200F S0M87A Managed Switch (L2) – 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE) (TAA, Trade Agreements Act);<p>Der HPE Aruba Networking CX 6200F S0M87A ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 128 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an. Über Power over Ethernet versorgt der S0M87A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking CX 6200F S0M87A ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der S0M87A eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,2 Mpps. Der S0M87A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des S0M87A erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0M87A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des S0M87A übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 500 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der S0M87A umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0m87a;4,90;6,90;S0M87A;HP;standard;Stk;HPE Aruba CX 6200F S0M87A Switch (TAA-konform) | Hexwaren;Original HPE Aruba Networking CX 6200F S0M87A: gemanagter Layer-2-Switch mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W), Switching-Kapazität 128 Gbit/s, 4× SFP+ (1/10G)-Uplinks – TAA-konform;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
JL726A;HPE Aruba Networking CX 6200F JL726A Managed Switch (L2) – 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 6200F JL726A ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 48× 10/100/1000BASE-T (ohne PoE). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 176 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 6200F JL726A ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 48× 10/100/1000BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der JL726A eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 130,9 Mpps. Der JL726A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des JL726A erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der JL726A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des JL726A übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 200 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der JL726A umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl726a;4,45;6,45;JL726A;HP;standard;Stk;HPE Aruba CX 6200F JL726A Switch (A) | Hexwaren;Original HPE Aruba Networking CX 6200F JL726A: gemanagter Layer-2-Switch mit 48× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 176 Gbit/s, 4× SFP+ (1/10G)-Uplinks, ohne PoE – Hardware-Revision A;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
JL726B;HPE Aruba Networking CX 6200F JL726B Managed Switch (L2) – 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 6200F JL726B ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 48× 10/100/1000BASE-T (ohne PoE). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 176 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 6200F JL726B ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 48× 10/100/1000BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der JL726B eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 130,9 Mpps. Der JL726B ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des JL726B erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der JL726B im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des JL726B übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 200 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der JL726B umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl726b;4,45;6,45;JL726B;HP;standard;Stk;HPE Aruba CX 6200F JL726B Switch (B) | Hexwaren;Original HPE Aruba Networking CX 6200F JL726B: gemanagter Layer-2-Switch mit 48× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 176 Gbit/s, 4× SFP+ (1/10G)-Uplinks, ohne PoE – Hardware-Revision B;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
S0M88A;HPE Aruba Networking CX 6200F S0M88A Managed Switch (L2) – 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE) (TAA, Trade Agreements Act);<p>Der HPE Aruba Networking CX 6200F S0M88A ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 48× 10/100/1000BASE-T (ohne PoE). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 176 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 6200F S0M88A ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 48× 10/100/1000BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der S0M88A eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 130,9 Mpps. Der S0M88A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0M88A erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0M88A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des S0M88A übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 200 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der S0M88A umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0m88a;4,45;6,45;S0M88A;HP;standard;Stk;HPE Aruba CX 6200F S0M88A Switch (TAA-konform) | Hexwaren;Original HPE Aruba Networking CX 6200F S0M88A: gemanagter Layer-2-Switch mit 48× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 176 Gbit/s, 4× SFP+ (1/10G)-Uplinks, ohne PoE – TAA-konform;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
JL727A;HPE Aruba Networking CX 6200F JL727A Managed Switch (L2) – 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 6200F JL727A ist ein gemanagter Layer-2-Switch der Aruba-CX-6200F-Serie mit 48× 10/100/1000BASE-T (Class 4 PoE, 30 W). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 176 Gbit/s und bindet per 4× SFP+ (1/10G) an das Netz an. Über Power over Ethernet versorgt der JL727A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking CX 6200F JL727A ist ein gemanagter Layer-2-Switch aus der Aruba-CX-6200F-Familie mit 48× 10/100/1000BASE-T (Class 4 PoE, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der JL727A eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 130,9 Mpps. Der JL727A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des JL727A erfolgt über 4× SFP+ (1/10G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu acht Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der JL727A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des JL727A übernehmen Feste Lüfter (nicht austauschbar) sowie Internes Festnetzteil 500 W (nicht hot-swap, nicht feldaustauschbar). Unter AOS-CX bietet der JL727A umfangreiche Layer-2-Funktionen (VLAN, Spanning Tree, LACP), statisches IPv4/IPv6-Routing, ACLs, Aruba Dynamic Segmentation und Zero-Touch-Provisioning (ZTP). Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl727a;5,05;7,05;JL727A;HP;standard;Stk;HPE Aruba CX 6200F JL727A Switch (A) | Hexwaren;Original HPE Aruba Networking CX 6200F JL727A: gemanagter Layer-2-Switch mit 48× 10/100/1000BASE-T (Class 4 PoE, 30 W), Switching-Kapazität 176 Gbit/s, 4× SFP+ – PoE-Budget 370 – Hardware-Revision A;Netzwerk & Infrastruktur;Switches;Aruba CX 6200F Switches;TRUE;Y;Y
